[TILESET_TEXT_OUTPUT]
TILESET_VERSION=4
TILESET_NUM=12
---
TILESET_NAME=街
TILE_FILE_NUM=32
TILE_FILE_0=MapChip/基本デフォ改.png
TILE_FILE_1=MapChip/[A]Grass1-Dirt1_pipo.png
TILE_FILE_2=MapChip/[A]Grass1-Grass2_pipo.png
TILE_FILE_3=MapChip/[A]Grass1-Grass3_pipo.png
TILE_FILE_4=MapChip/[A]Water2_pipo.png
TILE_FILE_5=MapChip/[A]Water5_pipo.png
TILE_FILE_6=MapChip/[A]Water7_pipo.png
TILE_FILE_7=MapChip/[A]WaterFall2_pipo.png
TILE_FILE_8=MapChip/[A]Flower_pipo.png
TILE_FILE_9=MapChip/[A]Snow_pipo.png
TILE_FILE_10=MapChip/[A]Snow_Grass4_pipo.png
TILE_FILE_11=MapChip/[A]Snow_Dirt2_pipo.png
TILE_FILE_12=MapChip/[A]Ice2_pipo.png
TILE_FILE_13=MapChip/[A]Dirt1-Dirt2_pipo.png
TILE_FILE_14=MapChip/[A]Wall-Up1_pipo.png
TILE_FILE_15=MapChip/[A]Wall-Up2_pipo.png
TILE_FILE_16=MapChip/[A]Grass1-Dirt3_pipo.png
TILE_FILE_17=MapChip/Shadow2.png
TILE_FILE_18=MapChip/Shallows.png
TILE_FILE_19=MapChip/[A]Leaf_orangejuice.png
TILE_FILE_20=MapChip/leaf.png
TILE_FILE_21=MapChip/senro.png
TILE_FILE_22=MapChip/kadan2.png
TILE_FILE_23=MapChip/kadan1.png
TILE_FILE_24=MapChip/[A]Snow_road_pipo.png
TILE_FILE_25=MapChip/[A]Ice2_pipo.png
TILE_FILE_26=MapChip/Shadow.png
TILE_FILE_27=MapChip/Shadow3.png
TILE_FILE_28=
TILE_FILE_29=
TILE_FILE_30=
TILE_FILE_31=
TILE_NUM=4888
[--PASSAGE_FLAG_START--]
0,0,0,0,15,15,15,528,
512,512,0,0,0,0,15,15,
0,512,15,0,528,0,15,15,
0,0,528,512,0,0,0,0,
0,0,0,0,0,0,0,0,
768,768,768,768,768,768,768,768,
15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,
15,15,15,15,512,512,15,15,
512,512,512,512,512,512,512,512,
512,512,512,512,512,512,512,512,
512,15,15,15,15,512,512,512,
10,8,12,0,0,0,0,0,
2,0,4,0,0,0,0,14,
2,0,4,2,4,0,14,15,
15,15,15,0,8,0,6,15,
15,15,15,10,8,12,6,0,
10,8,12,0,0,0,0,0,
2,0,4,0,0,0,0,14,
2,0,4,2,4,0,0,14,
15,15,15,0,8,0,0,6,
15,15,0,10,8,12,0,6,
15,15,15,768,512,256,512,512,
15,15,15,44,512,512,512,512,
15,15,15,15,512,512,512,512,
143,419,419,419,419,143,419,143,
419,143,143,143,419,143,143,419,
143,419,419,419,419,143,419,143,
419,143,143,143,419,143,143,419,
143,419,419,419,419,143,419,143,
419,143,143,143,419,143,143,419,
0,0,15,15,15,768,768,768,
15,15,291,15,15,15,15,15,
44,289,35,290,42,37,768,768,
0,37,0,42,15,15,15,15,
291,37,0,42,15,15,768,768,
289,15,290,289,0,290,15,15,
0,0,0,37,0,42,768,768,
37,15,42,37,0,42,15,15,
0,0,0,0,0,0,768,768,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,768,768,
0,0,0,0,0,0,0,0,
768,15,768,768,15,768,0,0,
42,0,37,42,0,37,768,768,
42,0,37,42,0,37,0,0,
15,15,15,15,15,15,528,768,
15,15,15,15,15,15,15,15,
15,15,15,15,15,15,528,768,
15,15,15,15,15,15,15,15,
15,15,15,15,15,15,528,768,
15,15,15,15,15,15,15,15,
15,15,15,15,15,15,528,768,
